name,platform,release_date,meta_score,user_review,genre,target_age
NHL 10,PlayStation,15-Sep-09,88,8.1,Sports,E
Batman: Arkham Asylum,PC,15-Sep-09,91,8.6,RPG,T
Demon`s Souls,PlayStation,06-Oct-09,89,8.7,RPG,M
Critter Crunch,PlayStation,08-Oct-09,87,7.3,Strategy,E
Uncharted 2: Among Thieves,PlayStation,13-Oct-09,96,8.8,RPG,T
FIFA Sports 10,PlayStation,20-Oct-09,91,7.6,Sports,E
Dragon Age: Origins,PlayStation,03-Nov-09,87,8.0,RPG,M
Dragon Age: Origins,PC,03-Nov-09,91,8.8,RPG,M
Call of Duty: Modern Warfare 2,PlayStation,10-Nov-09,94,6.6,Shooting,M
Braid,PlayStation,12-Nov-09,93,7.8,Platformer,E
Assassin`s Creed II,PlayStation,17-Nov-09,91,8.7,RPG,M
God of War Collection,PlayStation,17-Nov-09,91,8.8,RPG,M
Peggle,PlayStation,19-Nov-09,91,7.3,Strategy,E
Mass Effect 2,PC,26-Jan-10,94,8.9,RPG,M
BioShock 2,PlayStation,09-Feb-10,88,8.2,Shooting,M
Heavy Rain,PlayStation,23-Feb-10,87,7.8,RPG,M
MLB 10: The Show,PlayStation,02-Mar-10,91,8.2,Sports,E
Battlefield: Bad Company 2,PlayStation,02-Mar-10,88,8.5,Shooting,M
God of War III,PlayStation,16-Mar-10,92,8.8,RPG,M
Super Street Fighter IV,PlayStation,27-Apr-10,92,7.8,Action,T
Red Dead Redemption,PlayStation,18-May-10,95,8.9,RPG,M
Monkey Island 2 Special Edition: LeChuck`s Revenge,PlayStation,06-Jul-10,87,8.1,Visual Novel,E
BlazBlue: Continuum Shift,PlayStation,27-Jul-10,87,8.1,Action,T
Starcraft II: Wings of Liberty,PC,27-Jul-10,93,8.3,Strategy,T
NHL 11,PlayStation,07-Sep-10,88,7.2,Sports,E
FIFA Sports 11,PlayStation,28-Sep-10,89,8.1,Sports,E
NBA 2K11,PlayStation,05-Oct-10,89,8.0,Sports,E
Rock Band 3,PlayStation,26-Oct-10,91,8.1,Rhythm,T
Red Dead Redemption: Undead Nightmare Pack,PlayStation,26-Oct-10,87,8.3,RPG,M
Call of Duty: Black Ops,PlayStation,09-Nov-10,88,6.8,Shooting,M
Need for Speed: Hot Pursuit,PlayStation,16-Nov-10,89,7.4,Action,E
Assassin`s Creed: Brotherhood,PlayStation,16-Nov-10,90,8.3,RPG,M
Pac-Man Championship Edition DX,PlayStation,23-Nov-10,91,7.9,Arcade,E
Battlefield: Bad Company 2 Vietnam,PlayStation,21-Dec-10,88,8.2,Shooting,M
Mass Effect 2,PlayStation,17-Jan-11,94,8.7,RPG,M
LittleBigPlanet 2,PlayStation,18-Jan-11,91,8.6,Platformer,E
Dead Space 2,PlayStation,25-Jan-11,89,8.5,Survival,M
MLB 11: The Show,PlayStation,08-Mar-11,90,8.0,Sports,E
Portal 2,PC,18-Apr-11,95,9.1,Shooting,T
Portal 2,PlayStation,19-Apr-11,95,8.7,Shooting,T
L.A. Noire,PlayStation,17-May-11,89,7.8,RPG,M
DiRT 3,PlayStation,24-May-11,87,7.2,Action,T
LIMBO,PlayStation,19-Jul-11,90,8.0,Platformer,T
Deus Ex: Human Revolution,PlayStation,23-Aug-11,89,8.3,RPG,M
FIFA Sports 12,PlayStation,27-Sep-11,90,7.2,Sports,E
The ICO & Shadow of the Colossus Collection,PlayStation,27-Sep-11,92,8.7,RPG,T
NBA 2K12,PlayStation,04-Oct-11,90,6.8,Sports,E
Dark Souls,PlayStation,04-Oct-11,89,8.9,RPG,M
Batman: Arkham City,PlayStation,18-Oct-11,96,8.8,RPG,T
Uncharted 3: Drake`s Deception,PlayStation,01-Nov-11,92,8.4,RPG,T
Metal Gear Solid HD Collection,PlayStation,08-Nov-11,89,8.9,RPG,M
The Elder Scrolls V: Skyrim,PC,10-Nov-11,94,8.4,RPG,M
The Elder Scrolls V: Skyrim,PlayStation,11-Nov-11,92,6.6,RPG,M
Rayman Origins,PlayStation,15-Nov-11,87,8.5,Platformer,T
Minecraft,PC,18-Nov-11,93,8.0,Strategy,E
Batman: Arkham City,PC,21-Nov-11,91,8.7,RPG,T
Journey,PlayStation,13-Mar-12,92,8.8,Platformer,E
Max Payne 3,PlayStation,15-May-12,87,7.9,Shooting,M
The Walking Dead: Episode 3 - Long Road Ahead,PlayStation,28-Aug-12,87,7.9,Visual Novel,M
Borderlands 2,PlayStation,18-Sep-12,91,8.2,Shooting,M
FIFA Sports 13,PlayStation,25-Sep-12,88,6.6,Sports,E
NBA 2K13,PlayStation,02-Oct-12,90,8.0,Sports,E
Dishonored,PC,08-Oct-12,91,8.5,RPG,M
Dishonored,PlayStation,09-Oct-12,89,7.9,RPG,M
XCOM: Enemy Unknown,PlayStation,09-Oct-12,89,8.2,Strategy,M
Mark of the Ninja,PC,16-Oct-12,91,8.0,Platformer,M
Okami HD,PlayStation,30-Oct-12,90,9.0,RPG,T
The Walking Dead: Episode 5 - No Time Left,PlayStation,20-Nov-12,88,8.7,Visual Novel,M
Far Cry 3,PlayStation,04-Dec-12,90,8.6,Shooting,M
MLB 13: The Show,PlayStation,05-Mar-13,87,7.9,Sports,E
Tomb Raider,PlayStation,05-Mar-13,87,8.3,RPG,M
BioShock Infinite,PC,25-Mar-13,94,8.6,Shooting,M
BioShock Infinite,PlayStation,26-Mar-13,94,8.5,Shooting,M
Fez,PC,01-May-13,91,6.7,Platformer,E
The Last of Us,PlayStation,14-Jun-13,95,9.2,RPG,M
Hotline Miami,PlayStation,25-Jun-13,87,8.3,RPG,M
Spelunky,PC,08-Aug-13,90,7.4,Platformer,T
Rayman Legends,PlayStation,03-Sep-13,91,8.7,Platformer,E
Grand Theft Auto V,PlayStation,17-Sep-13,97,8.3,RPG,M
Assassin`s Creed IV: Black Flag,PlayStation,29-Oct-13,88,8.2,RPG,M
Dark Souls II,PlayStation,11-Mar-14,91,8.1,RPG,T
Dark Souls II,PC,25-Apr-14,91,7.2,RPG,T
Kentucky Route Zero - Act III,PC,06-May-14,91,6.6,RPG,E
The Walking Dead: Season Two Episode 5 - No Going Back,PlayStation,26-Aug-14,87,8.1,Visual Novel,M
Grand Theft Auto V,PC,13-Apr-15,96,7.8,RPG,M
The Witcher 3: Wild Hunt,PC,18-May-15,93,9.4,RPG,M
Metal Gear Solid V: The Phantom Pain,PC,01-Sep-15,91,7.8,RPG,M
Undertale,PC,15-Sep-15,92,8.4,RPG,E
Overwatch,PC,23-May-16,91,6.5,Shooting,T
The Witcher 3: Wild Hunt - Blood and Wine,PC,30-May-16,92,9.3,RPG,M
Shovel Knight: Treasure Trove,Switch,03-Mar-17,91,8.2,Platformer,E
The Legend of Zelda: Breath of the Wild,Switch,03-Mar-17,97,8.7,RPG,E
The Binding of Isaac: Afterbirth +,Switch,17-Mar-17,85,8.3,Survival,M
Mario Kart 8 Deluxe,Switch,28-Apr-17,92,8.6,Action,E
Thumper,Switch,18-May-17,85,8.1,Rhythm,E
Cave Story +,Switch,20-Jun-17,88,7.9,Platformer,E
Sonic Mania,Switch,15-Aug-17,86,8.4,Platformer,E
Divinity: Original Sin II,PC,14-Sep-17,93,8.8,RPG,E
SteamWorld Dig 2,Switch,21-Sep-17,88,8.6,Platformer,E
Axiom Verge,Switch,05-Oct-17,87,8.4,Platformer,E
Stardew Valley,Switch,05-Oct-17,87,8.7,RPG,E
Super Mario Odyssey,Switch,27-Oct-17,97,8.9,Platformer,E
