name,platform,release_date,meta_score,user_review,genre,target_age
Slay the Princess,PC,23-Oct-23,90.1,8.4,Visual Novel,M
DAVE THE DIVER,Switch,26-Oct-23,87.9,8.57,Adventure,E10+
Alan Wake II,PC,27-Oct-23,88.8,8.71,Survival,M
The Talos Principle 2,PlayStation,02-Nov-23,90.2,9.21,Adventure,E10+
Against the Storm,PC,08-Dec-23,91.1,8.24,Management,E10+
Prince of Persia: The Lost Crown,Switch,18-Jan-24,88.5,8.59,Metroidvania,T
The Last of Us Part II Remastered,PlayStation,19-Jan-24,90.3,8.17,Survival,M
Tekken 8,PC,26-Jan-24,91.2,5.99,Fighting,T
Tekken 8,PlayStation,26-Jan-24,90,7.49,Fighting,T
Like a Dragon: Infinite Wealth,PC,26-Jan-24,88.8,8.6,JRPG,M
Balatro,PC,20-Feb-24,89.8,8.56,Card Battle,M
Balatro,Switch,20-Feb-24,89.6,8.57,Card Battle,M
Balatro,PlayStation,20-Feb-24,92.9,8.56,Card Battle,M
Pentiment,Switch,22-Feb-24,90.3,8.82,Adventure,M
Final Fantasy VII Rebirth,PlayStation,29-Feb-24,92.5,9.02,JRPG,T
Unicorn Overlord,Switch,08-Mar-24,89.3,8.75,RTS,T
Black & White,PC,01-Mar-26,90.2,7.68,Strategy,T
